White Saris,PoemsAudio/Andrews/andrews0.wav
"What I knew of their house was a blue garage door, kicked-in at the middle.",PoemsAudio/Andrews/andrews1.wav
A buckling dent.,PoemsAudio/Andrews/andrews2.wav
You approach a scene like that with caution.,PoemsAudio/Andrews/andrews3.wav
"It takes time to know whether to pause or hurry, head down.",PoemsAudio/Andrews/andrews4.wav
Their glowing white saris on this grey marble day.,PoemsAudio/Andrews/andrews5.wav
"Outside the buckled door, a station wagon, black.",PoemsAudio/Andrews/andrews6.wav
I was thinking of you. How you will find out.,PoemsAudio/Andrews/andrews7.wav
The black suit you will wear.,PoemsAudio/Andrews/andrews8.wav
How the feel of your best white shirt could hurt.,PoemsAudio/Andrews/andrews9.wav
How silk might hang in a cold wardrobe.,PoemsAudio/Andrews/andrews10.wav
I pushed you through those people. ,PoemsAudio/Andrews/andrews11.wav
I pushed you along the road.,PoemsAudio/Andrews/andrews12.wav
